country_alpha,loc_code,year,n,tradagg_mean,survsagg_mean
COL,1,2018,60,-1.2606339564446083,0.7404154710045767
COL,3,2018,203,-1.5330780044845649,0.2631803283472002
COL,4,2012,401,-1.7461207305286692,0.1844001394384346
COL,4,2005,570,-1.6846581916597931,0.06023177270817644
COL,5,2005,103,-1.704403456863713,0.3313340813816518
COL,7,2012,64,-1.6089068591035767,0.09033634829141375
COL,8,2005,174,-1.7152359141952422,0.747118108893304
COL,170001,2018,110,-1.697824608164735,-0.16766134447823391
COL,170001,2012,142,-1.9350148150212039,-0.0803911632800971
COL,170001,2005,256,-1.8990148618388056,-0.06812475879354689
COL,170002,2018,208,-1.7591860524934826,-0.017860790130845516
COL,170002,2012,300,-1.898401591201127,-0.07258191155338506
COL,170002,2005,736,-1.8821018914051664,-0.08154696396502091
COL,170003,2018,83,-1.9461071077894745,0.06735060556772289
COL,170003,2012,223,-1.8319783738059092,0.0796091955155557
COL,170003,2005,448,-1.797452267942806,0.35643848706284603
COL,170006,2018,75,-1.1551646442181525,1.423370515518026
COL,170008,2018,56,-1.1246924989261042,1.0781637608176848
COL,170011,2005,111,-1.889320384962009,0.8951038893749824
COL,170014,2005,145,-2.157463592131202,0.04917256796451005
COL,170016,2005,89,-1.3905154641814204,0.6562473647409344
COL,170021,2018,174,-1.8929154423619707,0.1245557115787834
CYP,5,2006,94,-0.6076197599658644,-0.5140706629581223
CYP,196001,2011,96,-0.32885307114998075,-0.7389754748131404
CYP,196001,2006,121,-0.6748558711364034,-0.012619310904486519
CYP,196002,2019,70,-0.8607339162903425,-0.5437789202972018
CYP,196002,2011,93,-0.5218838798615059,-0.4913993780031756
CYP,196002,2006,142,-0.44498288034349226,-0.15752544660548018
CYP,196003,2006,88,-0.9356171201830491,-0.169177761226513
CYP,196009,2011,140,-0.3647963794238131,-0.038526258311895975
CYP,196009,2006,107,-0.8606015510773587,0.10348863693458579
CYP,196011,2011,99,-0.12001496613895375,0.3716227200813717
CYP,196011,2006,144,-0.1687828111640026,0.7100618066511579
CZE,203001,2022,65,1.4279419275785652,0.2843001314463299
CZE,203001,1998,188,1.1941202716942214,0.9282718849897554
CZE,203003,1998,87,0.18426130523500783,0.5214230190564887
CZE,203006,1998,69,1.2893133792325089,0.405467864987614
CZE,203009,2022,114,1.2684330036562448,1.3929229014652016
CZE,203009,1998,140,1.0366199428225016,1.385518660074863
CZE,203013,1998,61,1.2620561491731996,1.6444103686775582
CZE,203048,2022,262,1.1007709676842248,0.8055944586587115
CZE,203050,2022,100,1.2213639035966173,1.5586438531508287
CZE,203076,2022,77,1.4005560924890583,0.9767366751243902
CZE,203078,2022,93,1.3719777498798138,0.9603804800108475
DEU,4,2006,181,2.087381051384761,0.12050801547295066
DEU,276001,2018,359,0.2782443751668048,2.123919032066404
DEU,276001,2013,584,0.58108370179569,1.2788617008092311
DEU,276001,2006,395,0.6404969540293611,0.7113437691545746
DEU,276001,1997,320,0.8956672901833436,0.9225893677151676
DEU,276002,2018,211,0.9910769665352454,2.014681774044197
DEU,276002,2013,380,0.9533431049761046,1.3482933182664663
DEU,276002,2006,352,1.236482733917679,1.1867583024577628
DEU,276002,1997,484,1.8218207397938992,1.115106904095587
DEU,276003,2018,79,0.6996568127738318,2.3061223818738417
DEU,276003,2006,66,1.4056959131287725,1.1198326953960647
